,precision,recall,f1-score,support
0,0.9131771033422974,0.8489285714285715,0.8798815472885434,2800.0
1,0.8230918499353169,0.9089285714285714,0.8638832315003394,2800.0
2,0.8824975417895772,0.9042821158690176,0.8932570291117193,1985.0
3,1.0,0.9467455621301775,0.9726443768996961,2704.0
accuracy,0.9016425308581981,0.9016425308581981,0.9016425308581981,0.9016425308581981
macro avg,0.9046916237667979,0.9022212052140846,0.9024165462000746,10289.0
weighted avg,0.9055603741500272,0.9016425308581981,0.9024868285093218,10289.0
