,precision,recall,f1-score,support
0,0.8967807869187532,0.9215017064846417,0.9089731969441927,3809.0
1,0.7620446533490012,0.7832125603864735,0.7724836212030972,1656.0
2,0.8812217194570136,0.7782217782217782,0.826525198938992,1001.0
3,0.8820960698689956,0.8505263157894737,0.8660235798499464,950.0
accuracy,0.8621898597626753,0.8621898597626753,0.8621898597626753,0.8621898597626753
macro avg,0.8555358073984409,0.8333655902205918,0.8435013992340571,7416.0
weighted avg,0.8627128062124452,0.8621898597626753,0.8618643350685193,7416.0
